Designator,Mid X,Mid Y,Rotation,Layer
C1,64.8,-80.225,270.0,top
C10,57.05,-72.5,270.0,top
C11,55.3,-68.475,270.0,top
C12,64.9,-67.175,90.0,top
C2,64.8,-77.1,90.0,top
C3,58.0,-86.775,180.0,top
C4,63.0,-44.2,90.0,top
C5,55.2,-81.6,270.0,top
C6,63.0,-51.1,270.0,top
C7,64.5,-72.475,90.0,top
C8,66.9,-62.775,270.0,top
C9,55.1,-62.975,270.0,top
D1,57.05,-55.8,180.0,top
D4,66.8,-52.0,270.0,top
FB1,57.825,-58.1,0.0,top
FB2,66.0,-55.3,0.0,top
R10,55.2,-78.3,270.0,top
R11,54.3,-86.775,0.0,top
R12,54.3,-84.675,180.0,top
R13,62.9,-72.475,90.0,top
R14,60.6,-72.5,270.0,top
R15,66.9,-69.3,270.0,top
R16,68.25,-59.5,270.0,top
R17,64.9,-62.775,270.0,top
R18,53.1,-62.975,270.0,top
R19,55.5,-72.5,270.0,top
R20,54.45,-65.45,0.0,top
R21,58.6,-72.5,90.0,top
R22,59.15,-60.55,180.0,top
R5,65.475,-84.575,0.0,top
R6,63.7,-86.5,0.0,top
R7,62.2,-75.5,0.0,top
R8,56.3,-75.5,180.0,top
R9,51.8,-70.1,180.0,top
U1,60.0,-80.975,180.0,top
U2,59.94828,-66.335,180.0,top
