Designator,Mid X,Mid Y,Rotation,Layer
J1,95.024,-63.772,180.0,bottom
J2,105.024,-50.772,0.0,bottom
J3,100.024,-77.1945,0.0,bottom
J4,95.024,-50.772,0.0,bottom
J5,105.024,-63.772,180.0,bottom
Q1,103.58,-76.0745,270.0,top
R1,98.373,-137.21,180.0,top
R11,103.58,-72.44,180.0,top
R2,94.924,-118.98,270.0,top
R26,95.706,-83.553,90.0,top
R27,95.559,-95.231,0.0,top
R29,107.898,-70.916,180.0,top
R3,95.178,-107.169,180.0,top
R4,104.592766,-138.804532,180.0,top
S1,105.024,-89.772,0.0,bottom
S2,95.024,-89.772,0.0,bottom
