Designator,Mid X,Mid Y,Rotation,Layer
C1,62.245,-70.42,270.0,top
C10,54.845,-62.82,270.0,top
C11,52.645,-58.52,270.0,top
C12,62.245,-57.22,90.0,top
C2,57.045,-65.42,0.0,top
C3,55.345,-76.82,180.0,top
C5,52.645,-71.52,270.0,top
C7,62.245,-62.82,90.0,top
C8,64.245,-52.82,270.0,top
C9,52.445,-53.02,270.0,top
R10,53.445,-65.42,180.0,top
R11,51.645,-76.82,0.0,top
R12,51.645,-74.72,180.0,top
R13,60.245,-62.82,90.0,top
R14,58.245,-62.82,270.0,top
R15,65.045,-55.62,0.0,top
R16,66.245,-52.82,90.0,top
R17,62.245,-52.82,270.0,top
R18,50.445,-53.02,270.0,top
R19,52.845,-62.82,270.0,top
R20,49.645,-55.82,0.0,top
R21,52.645,-68.22,270.0,top
R22,48.445,-53.02,90.0,top
R5,63.045,-74.62,0.0,top
R6,59.445,-76.82,180.0,top
R7,62.245,-66.82,90.0,top
R8,56.245,-62.82,270.0,top
R9,63.045,-76.82,0.0,top
U1,57.345,-71.02,180.0,top
U2,57.29328,-56.38,180.0,top
