Designator,Mid X,Mid Y,Rotation,Layer
C1,66.8,-79.9,270.0,top
C10,59.05,-72.175,270.0,top
C11,57.3,-68.15,270.0,top
C12,66.9,-66.85,90.0,top
C2,66.8,-76.775,90.0,top
C3,60.0,-86.45,180.0,top
C4,65.0,-43.875,90.0,top
C5,57.2,-81.275,270.0,top
C6,65.0,-50.775,270.0,top
C7,66.5,-72.15,90.0,top
C8,68.9,-62.45,270.0,top
C9,57.1,-62.65,270.0,top
D1,59.15,-57.925,180.0,top
D4,68.8,-51.675,270.0,top
FB1,59.2,-60.175,0.0,top
FB2,68.0,-54.975,0.0,top
J13,54.5,-79.115,180.0,top
J14,69.5,-79.115,180.0,top
J17,53.8,-41.775,0.0,top
J18,70.2,-41.775,0.0,top
J6,58.0,-55.375,180.0,bottom
R10,57.2,-77.975,270.0,top
R11,56.3,-86.45,0.0,top
R12,56.3,-84.35,180.0,top
R13,64.9,-72.15,90.0,top
R14,62.6,-72.175,270.0,top
R15,68.9,-68.975,270.0,top
R16,70.25,-59.175,270.0,top
R17,66.9,-62.45,270.0,top
R18,55.1,-62.65,270.0,top
R19,57.5,-72.175,270.0,top
R20,56.45,-65.125,0.0,top
R21,60.6,-72.175,90.0,top
R22,63.025,-60.175,180.0,top
R5,67.475,-84.25,0.0,top
R6,65.7,-86.175,0.0,top
R7,64.2,-75.175,0.0,top
R8,58.3,-75.175,180.0,top
R9,53.8,-69.775,180.0,top
U1,62.0,-80.65,180.0,top
U2,61.94828,-66.01,180.0,top
